Parent ID,Parent Name,Triggered Mean Count,Triggered 10 Year Prob,Triggered Primary Mean Count
705,Likely 2011 CFM,0.0,0.0,0.0
681,Lions Head 2011 CFM,2.0E-6,2.0E-6,2.0E-6
144,Little Lake,0.0,0.0,0.0
16,Little Salmon (Offshore),0.0,0.0,0.0
17,Little Salmon (Onshore),0.0,0.0,0.0
683,Los Alamos 2011 CFM,5.2E-5,5.2E-5,1.0E-5
780,Los Alamos extension,0.0,0.0,0.0
643,Los Medanos - Roe Island,0.0,0.0,0.0
74,Los Osos 2011,6.2E-5,6.2E-5,1.8E-5
201,Lost Hills,0.0,0.0,0.0
166,Ludlow,0.0,0.0,0.0
644,Maacama 2011 CFM,2.0E-6,2.0E-6,2.0E-6
22,Mad River (alt1),0.0,0.0,0.0
221,Malibu Coast (Extension) alt 1,0.0,0.0,0.0
220,Malibu Coast alt 1,8.0E-6,8.0E-6,0.0
164,Manix-Afton Hills,0.0,0.0,0.0
21,McKinleyville (alt1),0.0,0.0,0.0
155,McLean Lake,0.0,0.0,0.0
13,Mendocino,0.0,0.0,0.0
605,Mission (connected) 2011 CFM,0.0,0.0,0.0
250,Mission Creek,0.0,0.0,0.0
779,Mission Hills 2011,0.0,0.0,0.0
78,Mission Ridge-Arroyo Parida-Santa Ana,4.4E-5,4.4E-5,0.0
686,Mohawk Valley 2011 CFM,0.0,0.0,0.0
707,Mono Lake 2011 CFM,4.0E-6,4.0E-6,0.0
646,Monte Vista - Shannon 2011 CFM,0.0,0.0,0.0
11,Monterey Bay-Tularcitos,2.0E-6,2.0E-6,0.0
188,Morales (East),0.0,0.0,0.0
187,Morales (West),0.0,0.0,0.0
711,Mount Diablo Thrust North CFM,0.0,0.0,0.0
713,Mount Diablo Thrust South,0.0,0.0,0.0
156,Nelson Lake,0.0,0.0,0.0
122,Newport-Inglewood (Offshore),2.0E-6,2.0E-6,0.0
235,Newport-Inglewood alt 1,2.0E-6,2.0E-6,0.0
83,North Frontal  (East),0.0,0.0,0.0
82,North Frontal  (West),1.6E-5,1.6E-5,0.0
199,North Salt Lake,0.0,0.0,0.0
687,North Tahoe 2011 CFM,0.0,0.0,0.0
130,Northridge,0.0,0.0,0.0
211,Northridge Hills,0.0,0.0,0.0
116,Oak Ridge (Onshore),6.2E-5,6.0E-5,2.0E-6
709,Oceanic - West Huasna,0.0,0.0,0.0
777,Oceanside alt1,0.0,0.0,0.0
921,Ortigalita (North),6.0E-6,6.0E-6,2.0E-6
9,Ortigalita (South),8.0E-6,8.0E-6,4.0E-6
64,Owens Valley,0.0,0.0,0.0
891,Owens Valley Keough Hot Springs,0.0,0.0,0.0
47,Owl Lake,3.8E-5,3.8E-5,0.0
841,Ozena,0.0,0.0,0.0
109,Palos Verdes,0.0,0.0,0.0
244,Panamint Valley,8.0E-6,8.0E-6,0.0
